Name,Star Rarity,Game
Lan Yan,4,Genshin Impact
Ororon,4,Genshin Impact
Kachina,4,Genshin Impact
Sethos,4,Genshin Impact
Gaming,4,Genshin Impact
Chevreuse,4,Genshin Impact
Freminet,4,Genshin Impact
Charlotte,4,Genshin Impact
Kirara,4,Genshin Impact
Yaoyao,4,Genshin Impact
Faruzan,4,Genshin Impact
Mika,4,Genshin Impact
Layla,4,Genshin Impact
Kaveh,4,Genshin Impact
Candace,4,Genshin Impact
Dori,4,Genshin Impact
Collei,4,Genshin Impact
Yun Jin,4,Genshin Impact
Kuki Shinobu,4,Genshin Impact
Heizou,4,Genshin Impact
Lynette,4,Genshin Impact
Thoma,4,Genshin Impact
Gorou,4,Genshin Impact
Kujou Sara,4,Genshin Impact
Sayu,4,Genshin Impact
Yanfei,4,Genshin Impact
Rosaria,4,Genshin Impact
Xinyan,4,Genshin Impact
Diona,4,Genshin Impact
Chongyun,4,Genshin Impact
Xingqiu,4,Genshin Impact
Xiangling,4,Genshin Impact
Ningguang,4,Genshin Impact
Beidou,4,Genshin Impact
Sucrose,4,Genshin Impact
Fischl,4,Genshin Impact
Noelle,4,Genshin Impact
Bennett,4,Genshin Impact
Razor,4,Genshin Impact
Barbara,4,Genshin Impact
Kaeya,4,Genshin Impact
Lisa,4,Genshin Impact
Amber,4,Genshin Impact
Neuvillette,5,Genshin Impact
Mavuika,5,Genshin Impact
Arlecchino,5,Genshin Impact
Furina,5,Genshin Impact
Nahida,5,Genshin Impact
Yelan,5,Genshin Impact
Raiden,5,Genshin Impact
Alhaitham,5,Genshin Impact
Childe,5,Genshin Impact
Albedo,5,Genshin Impact
Ayaka,5,Genshin Impact
Cyno,5,Genshin Impact
Diluc,5,Genshin Impact
Aloy,5,Genshin Impact
Qiqi,5,Genshin Impact
Yoimiya,5,Genshin Impact
Mizuki,5,Genshin Impact
Citlali,5,Genshin Impact
Chasca,5,Genshin Impact
Xilonen,5,Genshin Impact
Kinich,5,Genshin Impact
Mulani,5,Genshin Impact
Emilie,5,Genshin Impact
Xianyun,5,Genshin Impact
Sigewinne,5,Genshin Impact
Clorinde,5,Genshin Impact
Chiori,5,Genshin Impact
Wriothesley,5,Genshin Impact
Navia,5,Genshin Impact
Lyney,5,Genshin Impact
Baizhu,5,Genshin Impact
Dehya,5,Genshin Impact
Wanderer,5,Genshin Impact
Nilou,5,Genshin Impact
Tighnari,5,Genshin Impact
Ayato,5,Genshin Impact
Yae Miko,5,Genshin Impact
Shenhe,5,Genshin Impact
Itto,5,Genshin Impact
Kokomi,5,Genshin Impact
Kazuha,5,Genshin Impact
Eula,5,Genshin Impact
Hu Tao,5,Genshin Impact
Xiao,5,Genshin Impact
Ganyu,5,Genshin Impact
Zhongli,5,Genshin Impact
Klee,5,Genshin Impact
Venti,5,Genshin Impact
Keqing,5,Genshin Impact
Mona,5,Genshin Impact
Jean,5,Genshin Impact
