Name,Star Rarity,Game
Acheron,5,Honkai Star Rail
Aglaea,5,Honkai Star Rail
Argenti,5,Honkai Star Rail
Arlan,4,Honkai Star Rail
Asta,4,Honkai Star Rail
Aventurine,5,Honkai Star Rail
Bailu,5,Honkai Star Rail
Black Swan,5,Honkai Star Rail
Blade,5,Honkai Star Rail
Boothill,5,Honkai Star Rail
Bronya,5,Honkai Star Rail
Clara,5,Honkai Star Rail
Dan Heng,4,Honkai Star Rail
Imbibitor Lunae,5,Honkai Star Rail
Dr.Ratio,5,Honkai Star Rail
Feixiao,5,Honkai Star Rail
Firefly,5,Honkai Star Rail
Fu Xuan,5,Honkai Star Rail
Fugue,5,Honkai Star Rail
Gallagher,4,Honkai Star Rail
Gepard,5,Honkai Star Rail
Guinaifen,4,Honkai Star Rail
Hanya,4,Honkai Star Rail
Herta,4,Honkai Star Rail
Himeko,5,Honkai Star Rail
Hook,4,Honkai Star Rail
Huohuo,5,Honkai Star Rail
Jade,5,Honkai Star Rail
Jiaoqiu,5,Honkai Star Rail
Jing Yuan,5,Honkai Star Rail
Jingliu,5,Honkai Star Rail
Kafka,5,Honkai Star Rail
Lingsha,5,Honkai Star Rail
Luka,4,Honkai Star Rail
Loucha,5,Honkai Star Rail
Lynx,4,Honkai Star Rail
March 7th,4,Honkai Star Rail
March 7th (the hunt),4,Honkai Star Rail
Misha,4,Honkai Star Rail
Moze,4,Honkai Star Rail
Mydei,5,Honkai Star Rail
Natasha,4,Honkai Star Rail
Pela,4,Honkai Star Rail
Qingque,4,Honkai Star Rail
Rappa,5,Honkai Star Rail
Robin,5,Honkai Star Rail
Ruan Mei,5,Honkai Star Rail
Sampo,4,Honkai Star Rail
Seele,5,Honkai Star Rail
Serval,4,Honkai Star Rail
Silver Wolf,4,Honkai Star Rail
Sparkle,5,Honkai Star Rail
Sunday,5,Honkai Star Rail
Sushang,4,Honkai Star Rail
The Herta,5,Honkai Star Rail
Tingyun,4,Honkai Star Rail
Topaz,5,Honkai Star Rail
Trailblazer,5,Honkai Star Rail
Tribbie,5,Honkai Star Rail
Welt,5,Honkai Star Rail
Xueyi,4,Honkai Star Rail
Yanqing,5,Honkai Star Rail
Yukong,4,Honkai Star Rail
Yunli,5,Honkai Star Rail
